feature,priv_mean_abs_shap,unpriv_mean_abs_shap,difference
credit_amount_1715,,0.0,
credit_amount_1721,,0.0,
credit_amount_1736,,0.0,
credit_amount_1740,,0.0,
credit_amount_1743,,0.0,
credit_amount_1747,,0.0,
credit_amount_1750,,0.0,
credit_amount_1755,,0.0,
credit_amount_1766,,0.0009816648812944787,
credit_amount_1768,,0.0,
credit_amount_1778,,0.0,
credit_amount_1795,,0.001692722358521933,
credit_amount_1797,,0.0,
credit_amount_1800,,0.0,
credit_amount_1804,,0.0,
credit_amount_1808,,0.008143517358488471,
credit_amount_1817,,0.0028648697449317933,
credit_amount_1819,,0.002667684712049146,
credit_amount_1820,,0.0,
credit_amount_1823,,0.0,
credit_amount_1829,,0.0,
credit_amount_1835,,0.0,
credit_amount_1837,,0.0,
credit_amount_1842,,0.0,
credit_amount_18424,,0.0,
credit_amount_1845,,0.0,
credit_amount_1851,,0.0,
credit_amount_1858,,0.0,
credit_amount_1860,,0.0,
credit_amount_1864,,0.0,
credit_amount_1867,,0.0,
credit_amount_1872,,0.0,
credit_amount_1880,,0.0,
credit_amount_1881,,0.0,
credit_amount_1882,,0.0,
credit_amount_1884,,0.0,
credit_amount_1887,,0.0,
credit_amount_1893,,0.0,
credit_amount_1898,,0.0,
credit_amount_1901,,0.0,
credit_amount_1905,,0.0,
credit_amount_1908,,0.0,
credit_amount_1913,,0.0,
credit_amount_1919,,0.0,
credit_amount_1922,,0.003931716621923585,
credit_amount_1924,,0.0,
credit_amount_1925,,0.0,
credit_amount_1927,,0.0,
credit_amount_1928,,0.0,
credit_amount_1934,,0.0,
credit_amount_1935,,0.004964902284570847,
credit_amount_1936,,0.0,
credit_amount_1938,,0.0,
credit_amount_1940,,0.0,
credit_amount_1941,,0.0,
credit_amount_1943,,0.0,
credit_amount_1950,,0.0,
credit_amount_1953,,0.0,
credit_amount_1957,,0.0,
credit_amount_1961,,0.0,
credit_amount_1963,,0.0,
credit_amount_1965,,0.0,
credit_amount_1967,,0.0,
credit_amount_1977,,0.0,
credit_amount_1979,,0.0,
credit_amount_1980,,0.0,
credit_amount_1984,,0.0,
credit_amount_1987,,0.0,
credit_amount_1995,,0.0021130568597765523,
credit_amount_2002,,0.0,
credit_amount_2012,,0.0008023507721807929,
credit_amount_2022,,0.0009017044850474335,
credit_amount_2028,,0.0,
credit_amount_2030,,0.0,
credit_amount_2032,,0.0,
credit_amount_2039,,0.0,
credit_amount_2051,,0.0,
credit_amount_2058,,0.0,
credit_amount_2063,,0.0,
credit_amount_2064,,0.0,
credit_amount_2069,,0.0,
credit_amount_2073,,0.0,
credit_amount_2080,,0.00040629176759557367,
credit_amount_2096,,0.0,
credit_amount_2100,,0.0,
credit_amount_2101,,0.0,
credit_amount_2108,,0.0004818328207356672,
credit_amount_2116,,0.0,
credit_amount_2118,,0.0,
credit_amount_2121,,0.0,
credit_amount_2122,,0.0,
credit_amount_2124,,0.0,
credit_amount_2132,,0.0,
credit_amount_2133,,0.0,
credit_amount_2134,,0.0,
credit_amount_2136,,0.0,
credit_amount_2141,,0.0005471779145269427,
credit_amount_2142,,0.0,
credit_amount_2145,,0.0,
credit_amount_2146,,0.0,
credit_amount_2149,,0.0,
credit_amount_2150,,0.0017184501773426918,
credit_amount_2169,,0.0061328212028089355,
credit_amount_2171,,0.0,
credit_amount_2181,,0.0,
credit_amount_2186,,0.0,
credit_amount_2197,,0.0,
credit_amount_2210,,0.0061913096076814675,
credit_amount_2212,,0.0,
credit_amount_2214,,0.003493574020867242,
credit_amount_2221,,0.0,
credit_amount_2223,,0.0,
credit_amount_2225,,0.0,
credit_amount_2235,,0.0,
credit_amount_2238,,0.0,
credit_amount_2241,,0.0027355332585028997,
credit_amount_2246,,0.0,
credit_amount_2247,,0.0,
credit_amount_2249,,0.0,
credit_amount_2251,,0.0,
credit_amount_2255,,0.0,
credit_amount_2273,,0.0,
credit_amount_2278,,0.0,
credit_amount_2279,,0.0,
credit_amount_2284,,0.0,
credit_amount_2288,,0.0,
credit_amount_2292,,0.0,
credit_amount_2299,,0.0,
credit_amount_2301,,0.0,
credit_amount_2302,,0.0,
credit_amount_2303,,0.0,
credit_amount_2315,,0.0,
credit_amount_2319,,0.0,
credit_amount_2320,,0.0,
credit_amount_2323,,0.0,
credit_amount_2325,,0.0,
credit_amount_2326,,0.0,
credit_amount_2327,,0.0,
credit_amount_2329,,0.0,
credit_amount_2331,,0.0,
credit_amount_2333,,0.0,
credit_amount_2337,,0.0,
credit_amount_2346,,0.0,
credit_amount_2348,,0.0,
