feature,priv_mean_abs_shap,unpriv_mean_abs_shap,difference
fnlwgt_102238_,,0.0,
fnlwgt_102264_,,0.0,
fnlwgt_102268_,,0.0,
fnlwgt_102270_,,0.0,
fnlwgt_102308_,,0.00033389412350106804,
fnlwgt_102318_,,0.0,
fnlwgt_102323_,,0.0,
fnlwgt_102332_,,0.0,
fnlwgt_102343_,,0.0,
fnlwgt_102345_,,0.0,
fnlwgt_102346_,,0.0,
fnlwgt_102350_,,0.0,
fnlwgt_102359_,,0.0,
fnlwgt_102388_,,0.0,
fnlwgt_102412_,,0.0,
fnlwgt_102420_,,0.0,
fnlwgt_102423_,,0.0,
fnlwgt_102442_,,0.0,
fnlwgt_102460_,,0.0,
fnlwgt_102470_,,0.0,
fnlwgt_102471_,,0.0,
fnlwgt_102476_,,0.0,
fnlwgt_102479_,,0.0,
fnlwgt_102493_,,0.0,
fnlwgt_102509_,,0.0,
fnlwgt_102510_,,0.0,
fnlwgt_102533_,,0.0,
fnlwgt_102541_,,0.0,
fnlwgt_102542_,,0.0,
fnlwgt_102559_,,0.0,
fnlwgt_102569_,,0.0003969376910360763,
fnlwgt_102583_,,0.0,
fnlwgt_102597_,,0.0,
fnlwgt_102606_,,0.00030827239640037575,
fnlwgt_102607_,,0.0,
fnlwgt_102610_,,0.0,
fnlwgt_102615_,,0.0,
fnlwgt_102628_,,0.0,
fnlwgt_102631_,,0.0,
fnlwgt_102632_,,1.6041166844150916e-05,
fnlwgt_102640_,,0.0,
fnlwgt_102663_,,0.0,
fnlwgt_102684_,,0.0,
fnlwgt_102686_,,0.0,
fnlwgt_102693_,,0.0,
fnlwgt_102723_,,0.0,
fnlwgt_102726_,,0.0,
fnlwgt_102729_,,0.0,
fnlwgt_102766_,,0.0,
fnlwgt_102771_,,0.0,
fnlwgt_102821_,,0.0,
fnlwgt_102828_,,0.0,
fnlwgt_102858_,,0.0,
fnlwgt_102864_,,0.0,
fnlwgt_102874_,,0.0,
fnlwgt_102884_,,0.0,
fnlwgt_102889_,,0.0,
fnlwgt_102895_,,0.0,
fnlwgt_102904_,,0.0,
fnlwgt_102936_,,0.0,
fnlwgt_102938_,,0.0,
fnlwgt_102942_,,0.0,
fnlwgt_102945_,,0.0,
fnlwgt_102953_,,0.0,
fnlwgt_102976_,,0.0,
fnlwgt_102986_,,0.0,
fnlwgt_103020_,,0.0,
fnlwgt_103021_,,0.0,
fnlwgt_103024_,,0.0,
fnlwgt_103063_,,0.0,
fnlwgt_103064_,,5.0515219969545224e-05,
fnlwgt_103078_,,0.0,
fnlwgt_103110_,,0.0,
fnlwgt_103111_,,0.0,
fnlwgt_103121_,,0.0,
fnlwgt_103148_,,0.0,
fnlwgt_103153_,,0.0,
fnlwgt_103161_,,0.0,
fnlwgt_103164_,,0.0,
fnlwgt_103179_,,0.0,
fnlwgt_103205_,,0.0,
fnlwgt_103214_,,0.0,
fnlwgt_103218_,,0.0,
fnlwgt_103233_,,0.0,
fnlwgt_103257_,,0.0,
fnlwgt_103260_,,0.0,
fnlwgt_103277_,,0.0,
fnlwgt_103315_,,0.0,
fnlwgt_1033222_,,0.0,
fnlwgt_103323_,,0.0004181393943027119,
fnlwgt_103344_,,0.0,
fnlwgt_103345_,,0.0,
fnlwgt_103358_,,0.0,
fnlwgt_103371_,,0.0,
fnlwgt_103389_,,0.0,
fnlwgt_103395_,,0.0,
fnlwgt_103403_,,0.0,
fnlwgt_103406_,,0.0,
fnlwgt_103407_,,0.0,
fnlwgt_103408_,,0.0,
fnlwgt_103432_,,0.0,
fnlwgt_103435_,,0.0,
fnlwgt_103440_,,0.0,
fnlwgt_103456_,,0.0,
fnlwgt_103459_,,0.0,
fnlwgt_103474_,,0.0002947649121145497,
fnlwgt_103524_,,0.0,
fnlwgt_103529_,,0.0,
fnlwgt_103538_,,0.0,
fnlwgt_103540_,,0.0,
fnlwgt_103575_,,0.0,
fnlwgt_103580_,,0.0,
